iter	Logloss
0	0.6785907001
1	0.6646331191
2	0.6518685706
3	0.64304656
4	0.6323968728
5	0.6242164889
6	0.6170092685
7	0.6068693705
8	0.599728553
9	0.5924060552
10	0.5848089271
11	0.574213668
12	0.567659699
13	0.5593052665
14	0.5536504712
15	0.5456681541
16	0.5389339984
17	0.531275588
18	0.5274283543
19	0.5210624824
20	0.5169580951
21	0.5108947151
22	0.5061826958
23	0.5021757362
24	0.4964312628
25	0.491197809
26	0.4869046889
27	0.4815328742
28	0.4765504206
29	0.4714186994
30	0.4670768691
31	0.4652557073
32	0.461682593
33	0.4578195252
34	0.453161776
35	0.4501939423
36	0.4473590837
37	0.4438879306
38	0.4412014742
39	0.4381067979
40	0.435192389
41	0.4336703876
42	0.4299255334
43	0.4267222714
44	0.4240512307
45	0.4211248703
46	0.4172001564
47	0.4126735072
48	0.4097695943
49	0.4071418942
50	0.4049644555
51	0.4015387966
52	0.3986393629
53	0.3952856889
54	0.3930536176
55	0.3883384887
56	0.3857766063
57	0.3831773765
58	0.380365644
59	0.3778967412
60	0.3760805312
61	0.374114185
62	0.3717458078
63	0.3682676617
64	0.3658660198
65	0.3636682018
66	0.3618066134
67	0.3588388993
68	0.3567363012
69	0.354344211
70	0.3529985361
71	0.351043122
72	0.349073559
73	0.3471389359
74	0.3459263839
75	0.3418313773
76	0.3405187411
77	0.3376640591
78	0.3361504462
79	0.3347158424
80	0.3315289188
81	0.3292279245
82	0.327285856
83	0.3249884761
84	0.3231083915
85	0.3218485323
86	0.320086225
87	0.3190089498
88	0.3178600973
89	0.3168097355
90	0.314929739
91	0.3129203293
92	0.3110787641
93	0.3093212818
94	0.3076290042
95	0.3051135164
96	0.3033753317
97	0.301734022
98	0.2999434851
99	0.2984230972
100	0.296716773
101	0.2946302534
102	0.2930094281
103	0.2915695709
104	0.2895194132
105	0.2874544986
106	0.2848190708
107	0.2840586182
108	0.2826820657
109	0.280029877
110	0.2776799062
111	0.2762247233
112	0.2734407176
113	0.2714515682
114	0.2695364488
115	0.2692442015
116	0.2664751863
117	0.265204215
118	0.2630659712
119	0.2618924063
120	0.2596906656
121	0.2564977865
122	0.2549648895
123	0.2532661502
124	0.2514315793
125	0.2504283946
126	0.2494083843
127	0.2476900708
128	0.2456498673
129	0.2442083406
130	0.2433995301
131	0.2419892589
132	0.2406168481
133	0.2393579453
134	0.2385760993
135	0.237277643
136	0.2353678749
137	0.2345476514
138	0.2332945397
139	0.2321244037
140	0.2314468406
141	0.2313952995
142	0.2296591877
143	0.2280285706
144	0.227336301
145	0.2260082998
146	0.2254822312
147	0.2246128504
148	0.2226975272
149	0.2221274052
