iter	Passed	Remaining
0	94	14014
1	101	7483
2	103	5070
3	104	3830
4	107	3126
5	108	2612
6	110	2256
7	111	1984
8	112	1765
9	113	1589
10	114	1444
11	115	1324
12	115	1222
13	116	1133
14	117	1057
15	118	990
16	119	931
17	119	878
18	120	833
19	122	794
20	123	757
21	124	724
22	125	691
23	126	661
24	126	633
25	127	608
26	128	584
27	128	561
28	129	541
29	130	521
30	131	503
31	131	486
32	132	470
33	133	455
34	134	440
35	134	427
36	135	415
37	136	403
38	137	391
39	138	380
40	139	369
41	139	359
42	140	349
43	141	340
44	142	331
45	142	322
46	143	314
47	144	306
48	145	298
49	145	291
50	146	284
51	147	277
52	148	270
53	149	264
54	150	259
55	151	253
56	151	247
57	152	242
58	153	236
59	154	231
60	155	226
61	155	221
62	156	216
63	157	211
64	158	207
65	159	202
66	160	198
67	160	193
68	161	189
69	162	185
70	163	181
71	164	177
72	165	174
73	165	170
74	166	166
75	167	162
76	168	159
77	169	156
78	169	152
79	170	149
80	171	146
81	172	142
82	173	139
83	174	136
84	174	133
85	175	130
86	176	127
87	177	124
88	178	122
89	178	119
90	179	116
91	180	113
92	181	111
93	182	108
94	183	105
95	183	103
96	184	100
97	185	98
98	186	95
99	187	93
100	187	91
101	188	88
102	189	86
103	190	84
104	190	81
105	191	79
106	192	77
107	193	75
108	194	73
109	195	71
110	196	68
111	196	66
112	197	64
113	198	62
114	199	60
115	200	58
116	201	56
117	202	54
118	203	52
119	204	51
120	205	49
121	206	47
122	206	45
123	207	43
124	208	41
125	209	39
126	210	38
127	211	36
128	212	34
129	212	32
130	213	30
131	214	29
132	215	27
133	215	25
134	216	24
135	217	22
136	218	20
137	218	19
138	219	17
139	220	15
140	221	14
141	221	12
142	222	10
143	223	9
144	224	7
145	225	6
146	225	4
147	227	3
148	227	1
149	228	0
